iata,ident,name,latitude,longitude,iso_country,city
UTK,03N,Utirik Airport,11.222,169.852005,MH,Utirik Island
OCA,07FA,Ocean Reef Club Airport,25.325399398804,-80.274803161621,US,Key Largo
PQS,0AK,Pilot Station Airport,61.934601,-162.899994,US,Pilot Station
CSE,0CO2,Crested Butte Airpark,38.851918,-106.928341,US,Crested Butte
JCY,0TE7,LBJ Ranch Airport,30.2518005371,-98.6224975586,US,Johnson City
WLR,13Z,Loring Seaplane Base,55.601299,-131.636993,US,Loring
NUP,16A,Nunapitchuk Airport,60.905591,-162.440454,US,Nunapitchuk
PTC,16K,Port Alice Seaplane Base,55.803,-133.597,US,Port Alice
ICY,19AK,Icy Bay Airport,59.966269,-141.660118,US,Icy Bay
PPV,19P,Port Protection Seaplane Base,56.328800201416,-133.61000061035,US,Port Protection
KKK,1KC,Kalakaket Creek AS Airport,64.4166256967,-156.820392609,US,Kalakaket Creek
MHS,1O6,Dunsmuir Muni-Mott Airport,41.263199,-122.272003,US,Dunsmuir
NIR,1XA2,Chase Field Industrial Airport,28.362444,-97.661917,US,Beeville
GCT,1Z1,Grand Canyon Bar Ten Airstrip,36.258614,-113.231159,US,Littlefield
ELW,1Z9,Ellamar Seaplane Base,60.893818,-146.704038,US,Ellamar
LVD,2AK,Lime Village Airport,61.3591003418,-155.440002441,US,Lime Village
HGZ,2AK6,Hog River Airport,66.2161026,-155.6690063,US,Hogatza
OTN,2IG4,Ed-Air Airport,38.851782,-87.49987,US,Oaktown
TLF,2K5,Telida Airport,63.393901824951,-153.26899719238,US,Telida
BZT,2TE0,Eagle Air Park,28.982200622559,-95.579696655273,US,Brazoria
HBH,2Z1,Entrance Island Seaplane Base,57.412201,-133.43848,US,Entrance Island
FAK,2Z6,False Island Seaplane Base,57.5321998596,-135.212997437,US,False Island
BYW,38WA,Blakely Island Airport,48.5789985657,-122.825996399,US,Blakely Island
DRF,3AK5,Drift River Airport,60.5889015198,-152.162002563,US,Kenai
BDF,3IS8,Rinkenberger Restricted Landing Area,41.2308998108,-89.6156997681,US,Bradford
VRS,3VS,Roy Otten Memorial Airfield,38.427799224854,-92.875198364258,US,Versailles
GDH,3Z8,Golden Horn Lodge Seaplane Base,59.7470016479,-158.875,US,Golden Horn Lodge
ATT,4A2,Atmautluak Airport,60.866699,-162.272996,US,Atmautluak
LIV,4AK,Livengood Camp Airport,65.467,-148.6534,US,Livengood
PDB,4K0,Pedro Bay Airport,59.7896003723,-154.12399292,US,Pedro Bay
KOZ,4K5,Ouzinkie Airport,57.942094,-152.464314,US,Ouzinkie
TNK,4KA,Tununak Airport,60.575500488281,-165.27200317383,US,Tununak
WHD,4Z7,Hyder Seaplane Base,55.903324,-130.009975,US,Hyder
MNT,51Z,Minto Al Wright Airport,65.1437,-149.369995,US,Minto
TKI,57A,Tokeen Seaplane Base,55.9370994568,-133.32699585,US,Tokeen
WKK,5A8,Aleknagik / New Airport,59.2826004028,-158.617996216,US,Aleknagik
WFB,5KE,Ketchikan Harbor Seaplane Base,55.349899,-131.677002,US,Ketchikan
NNK,5NK,Naknek Airport,58.735633,-157.02216,US,Naknek
BKF,5Z9,Lake Brooks Seaplane Base,58.554798126221,-155.77699279785,US,Katmai National Park
BCS,65LA,Southern Seaplane Airport,29.866078,-90.021608,US,Belle Chasse
SPQ,6CA3,Catalina Air-Sea Terminal Heliport,33.7491989136,-118.275001526,US,San Pedro
TSS,6N5,East 34th Street Heliport,40.7425994873047,-73.9720993041992,US,New York
QNY,6N7,New York Skyports Inc Seaplane Base,40.735061,-73.972814,US,New York
BWL,6OK6,Earl Henry Airport,36.7958984375,-97.3170013428,US,Blackwell
WYB,78K,Yes Bay Lodge Seaplane Base,55.9163017273,-131.800994873,US,Yes Bay
CWS,78WA,Center Island Airport,48.4901008606,-122.832000732,US,Center Island
TEK,7KA,Tatitlek Airport,60.871449,-146.690297,US,Tatitlek
DUF,7NC2,Pine Island Airport,36.2535018921,-75.7884979248,US,Corolla
SSW,7WA5,Stuart Island Airpark,48.673379,-123.175439,US,Friday Harbor
FOB,82CL,Fort Bragg Airport,39.472445,-123.795319,US,Fort Bragg
PUL,83Q,Port of Poulsbo Marina Moorage Seaplane Base,47.734001159668,-122.64700317383,US,Poulsbo
CCD,84CL,Century City Heliport,34.060798645,-118.417999268,US,Los Angeles
WMK,84K,Meyers Chuck Seaplane Base,55.7396011353,-132.255004883,US,Meyers Chuck
AXB,89NY,Maxson Airfield,44.312002,-75.90034,US,Alexandria Bay
REE,8XS8,Reese Airpark,33.590301513672,-102.03700256348,US,Lubbock
WDN,90WA,Waldron Airstrip,48.7118,-123.017998,US,Eastsound
WWP,96Z,Whale Pass Seaplane Float Harbor Facility,56.116299,-133.121994,US,Whale Pass
CHU,9A3,Chuathbaluk Airport,61.579102,-159.216003,US,Chuathbaluk
UGS,9A8,Ugashik Airport,57.523476,-157.396344,US,Ugashik
PSQ,9N2,Philadelphia Seaplane Base,39.859001159668,-75.299598693848,US,Essington
KLL,9Z8,Levelock Airport,59.12606,-156.860906,US,Levelock
SGW,A23,Saginaw Seaplane Base,56.8862991333,-134.158004761,US,Saginaw Bay
WTL,A61,Tuntutuliak Airport,60.3353004456,-162.667007446,US,Tuntutuliak
TWA,A63,Twin Hills Airport,59.07559967041,-160.27299499512,US,Twin Hills
KCQ,A79,Chignik Lake Airport,56.2550010681,-158.774993896,US,Chignik Lake
AAD,AAD,Adado Airport,6.095802,46.6375,SO,Adado
ABP,ABP,Atkamba Airport,-6.06462,141.095173,PG,Atkamba Mission
ACM,ACM,Arica Airport,-2.144851,-71.758389,CO,Arica
ADC,ADC,Andakombe Airport,-7.13722222222,145.744722222,PG,Andekombe
ADV,ADV,El Daein Airport,11.4023,26.1186,SD,El Daein
DJH,AE-0006,Jebel Ali Seaplane Base,24.988967,55.023796,AE,Jebel Ali
AEE,AEE,Adareil Airport,10.053611,32.959444,SS,Adar
AEK,AEK,Aseki Airport,-7.35080485552,146.19386673,PG,Aseki
AEQ,AEQ,Ar Horqin Airport,43.87042,120.15958,CN,Chifeng
KHT,AF-0005,Khost International Airport,33.284605,69.80734,AF,Khost
